bucket,count,avg_change,std_change,min_change,max_change
negative,0,,,,
neutral,58,-0.05280401724137931,1.353961997506389,-2.431129,3.960073
positive,312,-0.3823627115384616,1.1676166451603887,-2.634686,3.960073
