delta_pct,title,relevance_score
3.960073,"'I was careful and followed instructions closely, but still lost my crypto'",0.954857
3.085836,Paul Atkins takes over as SEC chair today aiming to usher in new pro-crypto era,0.762097
3.085836,ECB flags risk of financial contagion from US Crypto push,0.936004
2.858788,"'I was careful and followed instructions closely, but still lost my crypto'",0.954857
1.115972,"Bitcoin Dominance At Risk Of Crash To 40%, Why This Is Good For Ethereum, XRP, And Altcoins",0.860279
