delta_pct,title,relevance_score
-4.6941,"Bitcoin Braces For Trump Tariff Announcement: 'Short-Term Optimism' Has The Upper Hand, Experts Say",0.6354
-4.6941,"XRP’s Rise To Rarity: Only 1% May Afford It, Expert Says",0.7913
-4.6941,"Ripple’s RLUSD Debuts On Kraken, Gets Huge XRP Boost With Cross-Border Payments Platform Integration",0.5803
-4.6941,Eric Trump says he moved to crypto after family business became 'most canceled company',0.7735
-4.6941,Ethereum Burn Rate Fizzles Amid Worst Quarter Since 2022,0.5819
