delta_pct,title,relevance_score
-4.6941,Richmond buys 96 acres in Southside for park and development project,0.7669
-4.6941,4 steps to take toward financial spring cleaning,0.7277
-3.3333,"Another auto supply chain closing most stores, no bankruptcy filed",0.8777
-3.2896,How Businesses Are Dealing With Impending Tariffs,0.4794
-3.2896,21 Civil Rights Activists Who Changed And Will Change History,0.5136
