delta_pct,title,relevance_score
3.960073,"Donald Trump raised nearly $240 million for his inauguration — more than double the previous record, new filings show",0.973296
3.085836,How AI and Live Streaming Are Changing Online Roulette in the Philippines,0.973844
2.858788,"Donald Trump raised nearly $240 million for his inauguration — more than double the previous record, new filings show",0.973296
1.115972,Week in Review: Google loses a major antitrust case | TechCrunch,0.906365
1.115972,Attackers exploited SonicWall SMA appliances since January 2025,0.971708
