delta_pct,title,relevance_score
7.3923,"Drama as Radiogad Shares Animation Taunting Cubana Chiefpriest Over DNA Scandal: ""You Can't Escape""",0.7079
7.3923,Kerry Washington Glistens in Gold Burberry Dress & Jimmy Choo Pumps at the Fashion Trust U.S. Awards 2025,0.8288
7.3923,Best Offshore Sportsbooks: Why Bovada is the Best Option for Sports Bettors,0.4609
3.062,25 Times Parent’s Picking A Favourite Child Drastically Backfired On Them,0.468
3.062,Actor Kim Ji Soo Sparks Attention For His Response To An Unexpected Question About Kim Soo Hyun Amid Recent Scandal,0.8671
