delta_pct,title,relevance_score
-4.6941,Syria Suffers Nationwide Power Outage Due to ‘Technical Malfunction',0.7663
-4.6941,RLUSD joins Ripple Payments platform amid 118% monthly growth,0.5486
-3.3333,"Sources: Apple is keeping TikTok and other ByteDance apps on its US App Store for at least another 75 days, following assurances from AG Pam Bondi",0.6305
-3.3333,Oracle privately notifies Cloud data breach to customers,0.8832
-3.2896,An AI avatar tried to argue a case before a New York court. The judges weren't having it,0.8388
