delta_pct,title,relevance_score
-3.2896,Reeves tries to soothe market jitters after sell-off driven by Trump tariffs,0.7111
-3.1479,Surprising China news sends MicroStrategy stock reeling,0.7198
-3.1479,"Volatile treasury swings rattle investors, triggering widespread warnings of a big stock market meltdown",0.7649
-1.7118,The Latest: Stocks are making wild swings as markets assess the damage from Trump’s trade war,0.7257
-1.7118,"Fundamental Hedge Funds Lost 5% in Two Days, Goldman Sachs Says",0.5448
