delta_pct,title,relevance_score
-4.6941,"Val Kilmer’s Exes: His Dating History, Including Cher, Daryl Hannah, & More",0.9451
-4.6941,"Cricket news 2025 | Australia's contract list; George Bailey comments; Cameron Green fitness; Sam Konstas, Marnus Labuschagne future; Lance Morris",0.5191
-4.6941,Your Friends and Neighbors TV Review: Jon Hamm plays the anti-Don Draper in the new Apple TV+ drama series,0.6147
-3.3333,Ruprecht & Milner share Rawson AusEnduro spoils,0.4252
-3.2896,Rushes Extra | The Battle of the Alamo,0.6381
